1616999334436|5|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617009609041|1|statement|connection 0|SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=? |SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=2 
1617009617686|1|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'sky')
1617009626444|0|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'jack')
1617009638765|0|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'jack')
1617009645235|0|statement|connection 0|SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=? |SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=NULL 
1617009670081|0|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'jack')
1617009671742|0|statement|connection 1|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'jack')
1617009671934|0|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'jack')
1617009672101|0|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'jack')
1617009672285|0|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'jack')
1617009672455|0|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'jack')
1617009672630|0|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'jack')
1617009672798|0|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'jack')
1617009672990|0|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'jack')
1617009679111|0|statement|connection 2|SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=? |SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=2 
1617009685266|0|statement|connection 0|SELECT  id,count,user_id,book_id  FROM bs_cart     WHERE (user_id = ? AND user_id = ?)|SELECT  id,count,user_id,book_id  FROM bs_cart     WHERE (user_id = 1 AND user_id = 2)
1617009685297|27|statement|connection 0|INSERT INTO bs_cart  ( count, user_id, book_id )  VALUES  ( ?, ?, ? )|INSERT INTO bs_cart  ( count, user_id, book_id )  VALUES  ( 2, 1, 2 )
1617009685319|18|statement|connection 0|INSERT INTO bs_cart  ( count, user_id, book_id )  VALUES  ( ?, ?, ? )|INSERT INTO bs_cart  ( count, user_id, book_id )  VALUES  ( 2, 1, 2 )
1617009685332|0|statement|connection 2|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = ?|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = 1
1617009738449|1|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617009738449|0|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617009738453|2|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617009738454|0|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617009738453|2|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617009738456|0|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617009744989|1|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617009744991|1|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617009744992|0|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617009744994|1|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617009744996|2|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617009745005|9|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617009750442|1|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617009750443|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617009750446|1|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617009750449|4|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617009750457|0|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617009750460|1|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617009753249|0|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617009753251|1|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617009753256|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617009753258|0|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617009753263|0|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617009753265|1|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617018612544|3|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617018612544|3|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617018612544|3|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617018612559|1|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617018612559|1|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617018612560|2|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617018624183|0|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'sky')
1617018628952|3|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'sky')
1617018662029|52|statement|connection 0|INSERT INTO bs_user  ( password, phone, company, email, username )  VALUES  ( ?, ?, ?, ?, ? )|INSERT INTO bs_user  ( password, phone, company, email, username )  VALUES  ( '123456', '12345678912', '背景故宫', '111@qq.com', 'sky' )
1617018685540|0|statement|connection 2|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'sky')
1617018685727|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617018685729|0|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617018685736|7|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617018685737|0|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617018685739|0|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617018685745|2|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617018692623|0|statement|connection 0|SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=? |SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=2 
1617018711514|0|statement|connection 0|SELECT  id,count,user_id,book_id  FROM bs_cart     WHERE (user_id = ? AND book_id = ?)|SELECT  id,count,user_id,book_id  FROM bs_cart     WHERE (user_id = 5 AND book_id = 2)
1617018711572|53|statement|connection 0|INSERT INTO bs_cart  ( count, user_id, book_id )  VALUES  ( ?, ?, ? )|INSERT INTO bs_cart  ( count, user_id, book_id )  VALUES  ( 5, 5, 2 )
1617018711586|0|statement|connection 0|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = ?|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = 5
1617018740160|1|statement|connection 0|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = ?|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = 5
1617018973902|0|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617018973907|0|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617018973918|7|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617018973918|4|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617018973921|0|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617018973922|2|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617019505031|3|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617019505034|2|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617019505033|2|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617019505052|0|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617019505053|2|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617019505054|2|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617019508691|1|statement|connection 0|SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=? |SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=4 
1617019512607|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617019512613|1|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617019512630|4|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617019512635|2|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617019512637|14|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617019512640|1|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617019615951|2|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617019615951|2|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617019615951|2|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617019615968|0|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617019615969|0|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617019615971|4|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617019757616|3|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617019757616|3|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617019757616|3|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617019757633|1|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617019757635|2|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617019757633|1|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617020041568|2|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617020041568|2|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617020041568|2|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617020041585|0|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617020041585|2|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617020041587|3|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617020058691|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617020058696|2|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617020058707|3|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617020058709|0|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617020058716|0|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617020058719|1|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617020092593|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617020092596|1|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617020092599|0|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617020092604|0|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617020092634|1|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617020092638|1|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617020097647|1|statement|connection 0|SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=? |SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=1 
1617020640791|1|statement|connection 0|SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=? |SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=1 
